Ticker,Last Day Closing Price,CCI,% from Average Volume,Previous 3 Days Trend
MMM,99.2699966430664,-32.631086020366816,-57.48262103417103,mixed
AOS,82.40499877929688,-134.23602278744877,-68.33623638263262,mixed
ABT,101.4800033569336,-139.835000082637,-69.95462747402223,mixed
ABBV,157.92999267578125,-83.82542562919484,-58.79374936564242,mixed
ACN,280.0299987792969,-270.53703284239197,-6.7217965884200845,down
ADBE,437.8599853515625,-331.9047671253085,-11.927187674899688,mixed
AMD,162.2801055908203,42.66460939444997,-47.81531133248347,down
AES,21.53499984741211,100.00691480036058,-47.701518995005806,mixed
AFL,89.0,121.56990115498618,-62.72158775774205,up
A,131.22000122070312,-166.71911067763946,-15.16028865421008,mixed
APD,262.364990234375,58.024357750236135,-69.71124375941203,mixed
ABNB,143.0500030517578,-65.76338393345672,-73.16317728052442,mixed
AKAM,91.2699966430664,-110.47834121800786,-59.96648859795089,mixed
ALB,121.56999969482422,-159.60161083293482,-57.46714682973059,mixed
ARE,117.21499633789062,-100.5696900353695,-71.09940746045541,mixed
ALGN,254.75999450683594,-92.52929764114766,-71.17569644968546,mixed
ALLE,120.7750015258789,-105.56273014070022,-79.19603069957938,up
LNT,50.900001525878906,-33.35155556702922,-75.05693547826357,mixed
ALL,165.52000427246094,-71.00538143654279,-65.75851136393729,mixed
GOOGL,170.375,-28.80266433087818,-61.210277396021965,mixed
GOOG,171.88999938964844,-31.70536609886122,-63.966072995347986,mixed
MO,45.689998626708984,35.26132653712642,-68.350176463182,mixed
AMZN,174.94009399414062,-209.318673235811,-47.649695581479314,mixed
AMCR,9.975000381469727,-59.19285594581779,-51.669707419782384,mixed
AEE,72.4000015258789,-64.1145768013544,-56.43410276926086,mixed
AAL,11.320099830627441,-216.59763652225752,-4.967036665143953,down
AEP,89.43000030517578,-62.636901863994,-73.6331168336034,mixed
AXP,237.5449981689453,-29.17063574241053,-57.82644379775541,mixed
AIG,77.90499877929688,-66.2789381384573,-64.13314073716035,mixed
AMT,194.07000732421875,98.41522393577505,-48.30445968016646,up
AWK,129.5850067138672,-57.553863119828115,-57.40150194100543,mixed
AMP,427.6300048828125,-48.45880676706484,-66.11766117030864,mixed
AME,166.83999633789062,-85.56837527253904,-74.43848386072783,mixed
AMGN,304.93499755859375,-64.53555983168434,-75.82439674501265,mixed
APH,129.8699951171875,3.744625877741748,-20.699726515610628,mixed
ADI,228.4499969482422,80.14736805217268,-48.71711930157379,mixed
ANSS,314.8699951171875,-215.17124823344486,-71.15776031794013,down
AON,279.0299987792969,-95.9541456145022,-75.03154956529917,mixed
APA,30.295000076293945,-2.586273372705949,-58.056296753307144,mixed
AAPL,190.35000610351562,67.45421809854719,-58.33443712256171,mixed
AMAT,210.75,-8.561677000993686,-65.0701108008653,mixed
APTV,83.04000091552734,23.25885763865994,-61.905211603005405,up
ACGL,102.5199966430664,77.71161438847498,-58.82067534763596,mixed
ADM,61.54999923706055,-6.510687031020986,-65.17316122398141,mixed
ANET,296.0400085449219,-36.75202229451533,-50.46394434565875,mixed
AJG,252.86000061035156,36.39429051446102,-61.17006965963654,mixed
AIZ,171.72000122070312,-46.99243422449006,-75.77807157840033,up
T,17.909900665283203,211.27106234830117,-53.80865505759724,mixed
ATO,114.75900268554688,-79.41121879476731,-66.23049922617292,up
ADSK,197.24000549316406,-266.866405417563,2.8605992801296667,mixed
ADP,241.875,-87.42291631952251,-78.4238036825382,mixed
AZO,2744.81005859375,-106.13776856433634,-76.85207157483876,mixed
AVB,191.2899932861328,-128.71289514053052,-76.93738343906202,mixed
AVY,225.10220336914062,-44.65852390842787,-74.52060376405497,mixed
AXON,276.54998779296875,-104.37266695247276,-65.70617645133667,down
BKR,33.03120040893555,66.99300704076882,-79.55543308793635,mixed
BALL,68.58000183105469,-49.66813558507659,-67.59878602604135,mixed
BAC,39.38999938964844,52.082025981960065,-48.41058298186744,mixed
BK,58.595001220703125,33.272183240118395,-73.64102674933345,up
BBWI,51.25,153.7261284649533,-62.56308399661431,up
BAX,33.63999938964844,-106.32356325918448,-48.330107325511825,mixed
BDX,229.23500061035156,-96.09507400668993,-33.640668455709424,mixed
BRK.B,409.0899963378906,-4.283278093007339,-62.45466208082633,up
BBY,82.11000061035156,287.4060699524517,71.26103770204672,mixed
BIO,283.989990234375,-21.825339922358545,-64.60827634877086,mixed
TECH,76.97000122070312,-79.45149117209512,-69.3113495394483,mixed
BIIB,224.38999938964844,-2.452652484415885,-57.14152724161505,mixed
BLK,769.739990234375,-86.32097910617924,-50.281059314861665,mixed
BX,118.45220184326172,-91.63789699671175,-77.74236301275484,mixed
BA,173.87010192871094,-114.35162844942028,-72.225896452803,mixed
BKNG,3725.080078125,-0.7071822097691245,-71.78509482894782,mixed
BWA,35.599998474121094,-100.37714462011384,-38.20221902519273,mixed
BXP,59.6531982421875,-85.18631118523082,-74.96544519796248,up
BSX,74.66500091552734,44.78924711827499,-67.29019257161364,mixed
BMY,40.92499923706055,-107.88594092313151,-45.54737568136472,mixed
AVGO,1322.9300537109375,-53.84212881201123,-55.19786744687792,down
BR,197.625,-41.41087060218247,-68.70224878250856,mixed
BRO,88.71499633789062,32.74280394650067,-74.24404785417765,mixed
BF.B,44.959999084472656,-142.51850308453447,-32.00027837463554,mixed
BLDR,158.8300018310547,-108.92251831013849,-65.75380324510677,mixed
BG,106.39009857177734,90.10017940402155,-78.89102692744434,mixed
CDNS,280.4599914550781,-96.05777744793984,-37.66932663116391,down
CZR,35.05970001220703,-11.582150561157633,484.02163116851085,mixed
CPT,101.75,-121.68445590961451,-77.35069850393147,mixed
CPB,44.209999084472656,-118.13045698944583,-68.68786003317771,mixed
COF,136.97999572753906,-108.93759522880484,-70.4916210580319,mixed
CAH,97.87999725341797,-2.004697806134709,-69.00857106498437,up
KMX,69.5999984741211,-43.24915097737221,-73.04674570990201,mixed
CCL,15.0,25.698035051318435,-64.84586709168282,mixed
CARR,62.2400016784668,-157.14758812829118,-62.70802261649686,mixed
CTLT,53.790000915527344,-133.46832699789033,-58.120360985125174,down
CAT,337.010009765625,-122.51397017491666,-56.56666182031945,mixed
CBOE,174.5554962158203,-187.2821668018896,-70.9196319437708,down
CBRE,87.20999908447266,-52.592256183035666,-69.67959046174055,mixed
CDW,221.1199951171875,-51.611130532809675,-60.09560918512224,mixed
CE,150.27000427246094,-110.25320745887258,-81.54586271257847,mixed
COR,223.6699981689453,30.845919509154907,-70.62421887506414,up
CNC,70.68000030517578,-153.95508857090016,-58.20991930651226,mixed
CNP,30.204999923706055,110.21108331317852,-47.37491649699603,up
CF,78.25499725341797,55.28419035542539,-75.54781359434499,mixed
CHRW,85.625,101.84239959548057,-55.493933613212306,mixed
CRL,207.19749450683594,-136.3018166736641,-61.864361546008254,down
SCHW,71.92500305175781,-103.21726769312575,-73.04992765524607,up
CHTR,281.260009765625,160.0738588763977,-53.14248533648668,up
CVX,160.0399932861328,-43.04074313290891,-72.92375801480648,mixed
CMG,3073.239990234375,-175.77487103486868,-63.49519449745033,mixed
CB,267.60699462890625,72.79784744837295,-66.14577870381437,mixed
CHD,105.3949966430664,-83.07028361645284,-63.25312182494077,mixed
CI,337.5350036621094,-59.09892185508395,-4.230387639760803,mixed
CINF,117.33499908447266,-56.456451799604345,-86.86382793814616,mixed
CTAS,668.989990234375,-130.70542451151556,-63.039611701619236,mixed
CSCO,46.07500076293945,-107.23274376516731,-63.523648022074966,mixed
C,61.869998931884766,-112.10393512110356,-78.59426292482539,mixed
CFG,34.939998626708984,-101.35484547090206,-65.28849282391032,mixed
CLX,129.82000732421875,-104.36487807869909,-70.81204228574855,mixed
CME,202.80020141601562,-190.03938205659162,-41.898612432693994,down
CMS,62.47560119628906,1.9006971668253883,-73.87684492985433,mixed
KO,62.182498931884766,-77.61126585481716,-72.95241778560512,up
CTSH,64.70999908447266,-168.70133248689405,-81.66568791289333,down
CL,91.63999938964844,-148.24173444264005,-71.67782447977743,mixed
CMCSA,39.165000915527344,-11.115620066571195,-68.59078376810098,mixed
CMA,50.64720153808594,-104.95888889796143,-88.75667364543476,mixed
CAG,29.7450008392334,-148.58963727621827,-66.90404398744882,mixed
COP,115.66000366210938,-143.372583400819,-12.766507158908736,mixed
ED,94.62000274658203,-84.75820369004981,-59.42535035285512,mixed
STZ,246.2100067138672,-93.42252792164587,-67.08004536187183,mixed
CEG,214.14500427246094,0.9530845708622668,16.13270585219177,mixed
COO,93.3550033569336,-31.759862143066208,11.435966205339128,mixed
CPRT,52.255001068115234,-158.33004832007688,-68.76791205774349,mixed
GLW,36.92499923706055,115.63019510669977,-49.8351412223628,up
CPAY,264.2799987792969,-101.16821978107848,-74.05078867662934,mixed
CTVA,55.46900177001953,-103.00257532760972,-81.00569627179907,mixed
CSGP,78.05500030517578,-198.64657547328343,-78.53781190741712,down
COST,795.844970703125,42.2325306682744,-2.049229787621059,mixed
CTRA,28.264999389648438,35.339560344769,-69.63533731943943,mixed
CCI,101.20999908447266,58.201263648092905,-79.96012758130406,up
CSX,33.17499923706055,-114.15696205410009,-51.40547139497256,mixed
CMI,277.739990234375,-124.968078863563,-80.43205427394771,mixed
CVS,57.89500045776367,87.56879703187205,-29.908121259744934,up
DHR,253.7050018310547,-33.15947306224185,-46.375004518190735,up
DRI,149.14500427246094,-16.916521632994986,-71.89963373597803,mixed
DVA,145.3300018310547,168.42264802412953,-62.04844446848393,mixed
DAY,49.439998626708984,-206.02006410582067,-8.05318609999753,down
DECK,1084.43994140625,147.90299528225367,-50.62859872423513,mixed
DE,368.8800048828125,-116.70536354576697,-61.86494103102172,mixed
DAL,50.39950180053711,-103.47360853546807,-77.39517386343206,mixed
DVN,48.560001373291016,-91.8314857893309,-69.88963484842938,mixed
DXCM,116.91000366210938,-274.47763889283954,-38.6793560241278,mixed
FANG,198.29969787597656,-5.316177578931379,-80.08884137082705,mixed
DLR,143.5399932861328,24.70002966588044,-75.40806415242618,mixed
DFS,121.22000122070312,-145.44747097191885,-82.49984059629053,mixed
DG,133.9550018310547,-210.8939183969031,-38.02791209327662,mixed
DLTR,116.72000122070312,-40.82342931796334,-65.09750473892619,mixed
D,52.970001220703125,31.189742819797885,-52.114159940663484,up
DPZ,502.30499267578125,-133.1548875469514,-62.2290601233714,mixed
DOV,180.4949951171875,-111.28525689729226,-56.61909151293523,down
DOW,57.50749969482422,-88.13294176556553,-67.69108266371605,mixed
DHI,145.6649932861328,-44.74571788802008,-68.75381825322933,mixed
DTE,114.95449829101562,-8.98743135061777,-73.87244581586634,mixed
DUK,102.66000366210938,4.783265491573995,-64.56227304810587,mixed
DD,81.11000061035156,108.93129712406035,-71.39738186229732,mixed
EMN,99.69999694824219,-9.496548592371012,-79.54873804053719,mixed
ETN,325.4700012207031,-77.38885084413324,-48.14548514322673,mixed
EBAY,53.41999816894531,97.6093456451271,-74.985474987801,mixed
ECL,228.2550048828125,-107.27760446598836,-60.63182927531492,mixed
EIX,75.58000183105469,45.82123338900025,-76.86775353640333,mixed
EW,86.44000244140625,-35.45418695732989,-69.79384763144263,mixed
EA,129.33999633789062,11.310822693812069,-56.96158251910843,mixed
ELV,532.6400146484375,-25.545098280992644,-4.9849970723118116,mixed
LLY,816.030029296875,117.27631582312183,-61.5177384673689,mixed
EMR,110.05999755859375,-55.668056770173486,-78.42440429970121,mixed
ENPH,126.26000213623047,139.85326592901075,-50.948857238320485,mixed
ETR,110.98999786376953,-23.394811935956355,-54.10407068479718,mixed
EOG,123.69999694824219,-116.92350161239013,-76.49384143152035,mixed
EPAM,176.08999633789062,-70.60885361547118,-61.02602691457466,mixed
EQT,41.334999084472656,89.9141956883021,-64.65121415006782,mixed
EFX,228.75999450683594,-114.56559346866041,-81.80155355640487,down
EQIX,760.3599853515625,-6.876237614157554,-64.74454140158375,down
EQR,64.3499984741211,-135.46750615159306,-76.35307108776222,mixed
ESS,258.2300109863281,-28.775720146806364,-80.54969455637554,up
EL,122.73999786376953,-139.29065520424004,-65.77442635734309,mixed
ETSY,62.8849983215332,-1.3975711132926572,-65.06109390719283,up
EG,388.3500061035156,45.786416398201595,-82.96650532225127,mixed
EVRG,54.224998474121094,-44.597667281328704,-68.95503866347782,mixed
ES,58.400001525878906,-77.99875636724242,-68.56092098932311,up
EXC,37.040000915527344,-79.13624995531013,-75.37747882075645,mixed
EXPE,110.91999816894531,-85.43261277914698,-73.95369878889272,mixed
EXPD,120.46600341796875,199.49267049170825,-54.410879269372145,up
EXR,144.4949951171875,-29.47451145271322,-84.73406658852711,mixed
XOM,116.22000122070312,-44.74052991868587,-61.24888522125374,mixed
FFIV,164.97999572753906,-150.71889129787422,-55.028219137973856,mixed
FDS,403.4800109863281,-229.1121323090261,-67.04702264445883,down
FICO,1274.4000244140625,-58.0251833591965,-58.06664838794933,down
FAST,64.71499633789062,-143.7562575997923,-63.37783816154944,mixed
FRT,100.06999969482422,-67.80350228696493,-74.81957755322239,up
FDX,249.40499877929688,-79.04106914827616,-83.62906200491011,mixed
FIS,74.625,-28.86106620148339,-77.0314709144534,mixed
FITB,37.08000183105469,-75.10110453818662,-66.95552776995586,mixed
FSLR,264.8299865722656,103.20199384409402,11.303388104947974,mixed
FE,39.75,-11.819476059616328,-73.57995058162733,up
FI,148.39500427246094,-122.82948686384525,-73.49407219320625,mixed
FMC,61.54999923706055,-85.70058866253287,-57.99337784879883,mixed
F,11.984999656677246,-91.54277887105555,-58.133470165538256,mixed
FTNT,58.16999816894531,-110.8850965552805,-52.56317779100467,mixed
FTV,73.43589782714844,-163.86870459306982,-79.26492302325263,mixed
FOXA,34.369998931884766,180.05948321712717,-77.26479281786686,up
FOX,31.815000534057617,176.3429503678739,-83.45678394045663,up
BEN,23.295000076293945,-58.06024804378654,-70.95878254920358,mixed
FCX,51.904998779296875,-1.5145039736750887,-42.096599314853286,mixed
GRMN,162.02999877929688,-99.60151459439184,-83.60080516761927,mixed
IT,414.6600036621094,-194.61304413506056,-73.04750687932051,down
GE,163.11000061035156,-29.160928970189005,-60.90756742902676,mixed
GEHC,77.54000091552734,-148.5480901147488,-68.08701675047884,mixed
GEV,170.09500122070312,65.22005294727468,-59.74745905072856,mixed
GEN,24.6200008392334,44.01347861354586,-21.63372509369983,mixed
GNRC,145.1199951171875,36.502308386590336,-77.41077693535473,mixed
GD,296.1199951171875,25.85274691080369,-73.03599048222118,mixed
GIS,67.75,-117.09072096762594,-69.79822334307654,mixed
GM,44.435001373291016,-60.48990280328737,-46.98981525985363,up
GPC,142.49000549316406,-122.00933506612186,-78.47317214935283,mixed
GILD,63.44499969482422,-135.95188428900093,-48.88658232243852,mixed
GPN,99.87999725341797,-142.44930661789533,-49.12050173168726,mixed
GL,82.91999816894531,-46.21993977169315,-39.52114901247992,mixed
GS,451.6000061035156,-54.28630310845013,-59.51977033309247,mixed
HAL,36.44499969482422,-90.82232584791322,-69.99495661676751,mixed
HIG,101.83989715576172,45.58293534859823,-72.07383821831118,mixed
HAS,60.390201568603516,-52.36044771975978,-54.89810451302329,down
HCA,333.3599853515625,175.36842185715832,-53.32246143105536,mixed
DOC,19.709999084472656,30.5746190540996,-74.48756586530169,up
HSIC,69.20999908447266,-113.02690151172862,-57.49113279905893,down
HSY,196.02999877929688,-92.55548287931168,-64.70847496623226,mixed
HES,152.64999389648438,-72.55932179032548,-78.12334285805953,mixed
HPE,17.354999542236328,-20.915677131353032,-2.507870307139891,mixed
HLT,197.48500061035156,-110.96916952435411,-55.56956507828008,mixed
HOLX,72.9749984741211,-133.0553036485783,-81.94716777593354,mixed
HD,329.93499755859375,-75.65175821500577,-65.50578625637975,mixed
HON,200.06500244140625,-17.238189022576755,-63.931628048971454,mixed
HRL,31.0,-305.82503135551696,-15.932599398205744,mixed
HST,17.875,-161.3061443718284,-70.07385698593079,mixed
HWM,83.73639678955078,58.67137940352475,-73.33317352756863,mixed
HPQ,35.54499816894531,160.77820064278953,52.566379891191815,mixed
HUBB,385.4700012207031,-114.98433571896233,-61.86473770411066,mixed
HUM,352.74749755859375,59.979992225012055,-72.00077889976554,mixed
HBAN,13.770000457763672,-72.51641374794634,-66.45535879278385,mixed
HII,250.74000549316406,-35.417372042940066,-82.24880079025736,mixed
IBM,164.65499877929688,-137.75546032566794,-74.56955248779099,mixed
IEX,206.44000244140625,-167.89436063679213,0.20258964818122469,mixed
IDXX,492.8500061035156,-55.061550963122144,-37.73762334650854,down
ITW,239.27999877929688,-104.3974422834569,-69.70353576538467,mixed
ILMN,103.0250015258789,-115.23180697078124,-58.026289402198685,mixed
INCY,57.720001220703125,62.027486534585606,-41.96774872539641,up
IR,91.33000183105469,-14.689559061796539,-71.70387963397266,mixed
PODD,178.11000061035156,9.449581171470392,-69.444329448117,mixed
INTC,30.145000457763672,-83.59593457790402,-46.475236077904114,down
ICE,133.19000244140625,-42.19114665475346,-78.30583252491348,mixed
IFF,96.0,13.11824727649175,-80.59512345112341,up
IP,44.209999084472656,95.18935245486907,-64.90556935532558,down
IPG,30.875,-83.02331453861113,-82.31522958018836,mixed
INTU,562.2760009765625,-207.48305697143778,-23.303414806511665,mixed
ISRG,398.260009765625,63.82997116444951,-60.72278470112157,mixed
IVZ,15.635000228881836,6.940084837909866,-71.12820548689723,mixed
INVH,34.459999084472656,-89.16717090968976,-69.9823633070087,up
IQV,218.10000610351562,-212.0061379219614,-27.707466423806267,mixed
IRM,80.18000030517578,14.941281953250565,-76.26777990708781,mixed
JBHT,158.16000366210938,-74.1443970700103,-53.90276674482484,mixed
JBL,116.26499938964844,-47.61670525036023,-72.30682891668697,mixed
JKHY,162.22500610351562,-125.22692583032362,-72.05459608605433,mixed
J,136.92999267578125,-47.25075953024388,-44.641833879801325,mixed
JNJ,147.35000610351562,-90.89456099877405,-77.21748782643587,up
JCI,71.30000305175781,55.54817322833269,-72.23553738679334,mixed
JPM,199.67999267578125,32.92931438894109,-68.1621383076105,up
JNPR,35.505001068115234,347.4237458665612,-43.4937962525814,up
K,60.17499923706055,-112.95710495754616,-78.8753571102025,mixed
KVUE,18.96500015258789,-106.18910105897979,-80.2699843242696,mixed
KDP,34.147300720214844,75.52667885323675,-83.67862393627763,up
KEY,14.210000038146973,-124.79616960128651,-67.48747419498284,mixed
KEYS,137.27499389648438,-163.84149071920896,-58.68394268030085,down
KMB,131.07000732421875,-104.50544375659561,-64.8536229827875,mixed
KIM,19.155000686645508,42.56663225431849,-78.43469948997216,up
KMI,19.295000076293945,5.196788276486454,-73.89930682296558,mixed
KLAC,743.22998046875,19.681426091162685,-53.839554082119236,mixed
KHC,34.97999954223633,-167.63731744582282,-61.29083398359897,mixed
KR,51.98500061035156,-137.47405514187022,-74.17449834067514,mixed
LHX,221.80999755859375,16.432950969252815,-73.2814814880214,mixed
LH,192.74000549316406,-124.60084191174465,-67.46076578172084,mixed
LRCX,911.2050170898438,-44.2556282689689,-49.07793459027543,down
LW,87.59010314941406,53.01873195902622,-72.31959680873081,mixed
LVS,44.400001525878906,-123.90588968088349,-47.95472583516644,mixed
LDOS,145.11500549316406,-55.28754396483235,-80.28429449189669,down
LEN,157.77999877929688,-49.481702954178395,-72.91077477855067,mixed
LIN,429.75,-37.092071890086125,-60.91470231529357,mixed
LYV,93.29000091552734,-144.15286800910286,-74.60233082949489,mixed
LKQ,42.79999923706055,-119.09832586494403,-58.791152914935275,mixed
LMT,463.8299865722656,-46.810839990170244,-74.34260219420811,mixed
L,75.71499633789062,-52.54927704909918,-83.60531885734666,up
LOW,217.5670928955078,-89.54030280812475,-61.71402352456964,up
LULU,310.9200134277344,-64.15364791509474,9.886519880306807,up
LYB,98.36499786376953,-91.69052547255,-71.41643536998443,mixed
MTB,150.03500366210938,-48.02400493352273,-76.28717696418644,mixed
MRO,28.774999618530273,188.87147226450753,-4.026112881645272,mixed
MPC,177.0399932861328,-52.98923223883939,-65.64435866260028,mixed
MKTX,197.9600067138672,-121.36420999175157,-31.040449700283755,down
MAR,228.875,-191.5599470293121,-71.54839336261439,mixed
MMC,206.85000610351562,9.567718561390455,-47.56772824433006,mixed
MLM,554.469970703125,-140.92211813685077,-39.98677011495321,mixed
MAS,68.8499984741211,-72.10909955743307,-74.76832246261492,up
MA,441.3500061035156,-139.91005926692605,-65.02953182928597,mixed
MTCH,29.975000381469727,-52.32413674943177,-71.6579098801703,up
MKC,71.81999969482422,-110.87554197398859,-80.41134035071023,mixed
MCD,255.12989807128906,-116.39307781326814,-38.789102343344695,mixed
MCK,562.4400024414062,80.51146066352645,-70.11347159049808,up
MDT,80.96499633789062,-93.14223130447284,-41.30905608957363,mixed
MRK,125.31500244140625,-142.4744591088357,-52.04598624189627,down
META,458.93499755859375,-119.10918934647385,-64.1731534861876,down
MET,71.41500091552734,-55.644582673194726,-76.50539490698412,up
MTD,1384.1800537109375,-26.543345763229365,-70.8649207576994,mixed
MGM,39.58000183105469,-88.73848035597976,-41.848004555052576,mixed
MCHP,94.58499908447266,12.612887825006059,-63.500969268396105,mixed
MU,122.08000183105469,-21.086482509503178,-32.37748334416268,mixed
MSFT,406.7300109863281,-91.2232968854258,-27.404788469087908,mixed
MAA,131.69500732421875,-105.5611334319475,-78.81713005086208,up
MRNA,141.8699951171875,50.67516778405738,-8.271339967493942,mixed
